"Ticket","Familia"
"013390/T-2","BALERINAS"
"013374/T-2","BALERINAS"
"014903/T-2","BALERINAS"
"012074/T-2","BALERINAS"
"011583/T-2","BALERINAS"
"016734/T-2","BALERINAS"
"011236/T-2","BALERINAS"
"015119/T-2","BALERINAS"
"012029/T-2","BALERINAS"
"013283/T-2","BALERINAS"
"011601/T-2","BALERINAS"
"011190/T-2","BALERINAS"
"011504/T-2","BALERINAS"
"011244/T-2","BALERINAS"
"013444/T-2","BALERINAS"
"011298/T-2","BALERINAS"
"011284/T-2","BALERINAS"
"015707/T-2","BALERINAS"
"014127/T-2","BALERINAS"
"012778/T-2","BALERINAS"
"012280/T-2","BALERINAS"
"011595/T-2","BALERINAS"
"011600/T-2","BALERINAS"
"011727/T-2","BALERINAS"
"011552/T-2","BALERINAS"
"014978/T-2","BALERINAS"
"014956/T-2","BALERINAS"
"014502/T-2","BALERINAS"
"012958/T-2","BALERINAS"
"016056/T-2","BALERINAS"
"012547/T-2","BALERINAS"
"012858/T-2","BALERINAS"
"011441/T-2","BALERINAS"
"014376/T-2","BALERINAS"
"012913/T-2","BALERINAS"
"017303/T-2","BALERINAS"
"016662/T-2","BALERINAS"
"013395/T-2","BALERINAS"
"014571/T-2","BALERINAS"
"016027/T-2","BALERINAS"
"013810/T-2","BALERINAS"
"011657/T-2","BALERINAS"
"014891/T-2","BALERINAS"
"011471/T-2","BALERINAS"
"015120/T-2","BALERINAS"
"015120/T-2","BALERINAS"
"012682/T-2","BALERINAS"
"011198/T-2","BALERINAS"
"011289/T-2","BALERINAS"
"011644/T-2","BALERINAS"
"014973/T-2","BALERINAS"
"012680/T-2","BALERINAS"
"011254/T-2","BALERINAS"
"012650/T-2","BALERINAS"
"011820/T-2","BALERINAS"
"011818/T-2","BALERINAS"
"012799/T-2","BALERINAS"
"014707/T-2","BALERINAS"
"013873/T-2","BALERINAS"
"011135/T-2","BALERINAS"
"014679/T-2","BALERINAS"
"013212/T-2","BALERINAS"
"012486/T-2","BALERINAS"
"012940/T-2","BALERINAS"
"014606/T-2","BALERINAS"
"011179/T-2","BALERINAS"
"017153/T-2","BALERINAS"
"014581/T-2","BALERINAS"
"011805/T-2","BALERINAS"
"011382/T-2","BALERINAS"
"012448/T-2","BALERINAS"
"013264/T-2","BALERINAS"
"013821/T-2","BALERINAS"
"012991/T-2","BALERINAS"
"013485/T-2","BALERINAS"
"011255/T-2","BALERINAS"
"011473/T-2","BALERINAS"
"015061/T-2","BALERINAS"
"012786/T-2","BALERINAS"
"011463/T-2","BALERINAS"
"011464/T-2","BALERINAS"
"013340/T-2","BALERINAS"
"011418/T-2","BALERINAS"
"012642/T-2","BALERINAS"
"015579/T-2","BALERINAS"
"015560/T-2","BALERINAS"
"012353/T-2","BALERINAS"
"014959/T-2","BALERINAS"
"014027/T-2","BALERINAS"
"016002/T-2","BALERINAS"
"017222/T-2","BALERINAS"
"012412/T-2","BALERINAS"
"012966/T-2","BALERINAS"
"012049/T-2","BALERINAS"
"012819/T-2","BALERINAS"
"012492/T-2","BALERINAS"
"015430/T-2","BALERINAS"
"014390/T-2","BALERINAS"
"016044/T-2","BALERINAS"
"012915/T-2","BALERINAS"
"014097/T-2","BALERINAS"
"012390/T-2","BALERINAS"
"016616/T-2","BALERINAS"
"011601/T-2","BALERINAS"
"011582/T-2","BALERINAS"
"012821/T-2","BALERINAS"
"012794/T-2","BALERINAS"
"014694/T-2","BALERINAS"
"012535/T-2","BALERINAS"
"016538/T-2","BALERINAS"
"012239/T-2","BALERINAS"
"011731/T-2","BALERINAS"
"011948/T-2","BALERINAS"
"012436/T-2","BALERINAS"
"012433/T-2","BALERINAS"
"013143/T-2","BALERINAS"
"016635/T-2","BALERINAS"
"014071/T-2","BALERINAS"
"013773/T-2","BALERINAS"
"013063/T-2","BALERINAS"
"011588/T-2","BALERINAS"
"013725/T-2","BALERINAS"
"013719/T-2","BALERINAS"
"012262/T-2","BALERINAS"
"011505/T-2","BALERINAS"
"013664/T-2","BALERINAS"
"015637/T-2","BALERINAS"
"011472/T-2","BALERINAS"
"011471/T-2","BALERINAS"
"011466/T-2","BALERINAS"
"011441/T-2","BALERINAS"
"013596/T-2","BALERINAS"
"012170/T-2","BALERINAS"
"012895/T-2","BALERINAS"
"012872/T-2","BALERINAS"
"014983/T-2","BALERINAS"
"011132/T-2","BALERINAS"
"013522/T-2","BALERINAS"
"013485/T-2","BALERINAS"
"013744/T-2","BALERINAS"
"012061/T-2","BALERINAS"
"011302/T-2","BALERINAS"
"013444/T-2","BALERINAS"
"011287/T-2","BALERINAS"
"013425/T-2","BALERINAS"
"011998/T-2","BALERINAS"
"014423/T-2","BALERINAS"
"012714/T-2","BALERINAS"
"013383/T-2","BALERINAS"
"013377/T-2","BALERINAS"
"011207/T-2","BALERINAS"
"017115/T-2","BALERINAS"
"011192/T-2","BALERINAS"
"011180/T-2","BALERINAS"
"013326/T-2","BALERINAS"
"012651/T-2","BALERINAS"
"011167/T-2","BALERINAS"
"012387/T-2","BALERINAS"
"011138/T-2","BALERINAS"
"011111/T-2","BALERINAS"
"012062/T-2","BALERINAS"
"014705/T-2","BALERINAS"
"013218/T-2","BALERINAS"
"013214/T-2","BALERINAS"
"013407/T-2","BALERINAS"
"012492/T-2","BALERINAS"
"015247/T-2","BALERINAS"
"013179/T-2","BALERINAS"
"014833/T-2","BALERINAS"
"012459/T-2","BALERINAS"
"012459/T-2","BALERINAS"
"013857/T-2","BALERINAS"
"014109/T-2","BALERINAS"
"012118/T-2","BALERINAS"
"012315/T-2","BALERINAS"
"011563/T-2","BALERINAS"
"012306/T-2","BALERINAS"
"011533/T-2","BALERINAS"
"013006/T-2","BALERINAS"
"012993/T-2","BALERINAS"
"011510/T-2","BALERINAS"
"015097/T-2","BALERINAS"
"015089/T-2","BALERINAS"
"013402/T-2","BALERINAS"
"015064/T-2","BALERINAS"
"014412/T-2","BALERINAS"
"012955/T-2","BALERINAS"
"011450/T-2","BALERINAS"
"015019/T-2","BALERINAS"
"012904/T-2","BALERINAS"
"013806/T-2","BALERINAS"
"011367/T-2","BALERINAS"
"015139/T-2","BALERINAS"
"011322/T-2","BALERINAS"
"012798/T-2","BALERINAS"
"011313/T-2","BALERINAS"
"016763/T-2","BALERINAS"
"011487/T-2","BALERINAS"
"016704/T-2","BALERINAS"
"011959/T-2","BALERINAS"
"013175/T-2","BALERINAS"
"012676/T-2","BALERINAS"
"012668/T-2","BALERINAS"
"011181/T-2","BALERINAS"
"014789/T-2","BALERINAS"
"014762/T-2","BALERINAS"
"012619/T-2","BALERINAS"
"014755/T-2","BALERINAS"
"014754/T-2","BALERINAS"
"013998/T-2","BALERINAS"
"013244/T-2","BALERINAS"
"014708/T-2","BALERINAS"
"015301/T-2","BALERINAS"
"013205/T-2","BALERINAS"
"014653/T-2","BALERINAS"
"012458/T-2","BALERINAS"
"012447/T-2","BALERINAS"
"012445/T-2","BALERINAS"
"013130/T-2","BALERINAS"
"013081/T-2","BALERINAS"
"012344/T-2","BALERINAS"
"016847/T-2","BALERINAS"
"014525/T-2","BALERINAS"
"014947/T-2","BALERINAS"
"014486/T-2","BALERINAS"
"016337/T-2","BALERINAS"
"016338/T-2","BALERINAS"
"012297/T-2","BALERINAS"
"013018/T-2","BALERINAS"
"012283/T-2","BALERINAS"
"013911/T-2","BALERINAS"
"014422/T-2","BALERINAS"
"012220/T-2","BALERINAS"
"014384/T-2","BALERINAS"
"015035/T-2","BALERINAS"
"012172/T-2","BALERINAS"
"012162/T-2","BALERINAS"
"013572/T-2","BALERINAS"
"012895/T-2","BALERINAS"
"014571/T-2","BALERINAS"
"012104/T-2","BALERINAS"
"012847/T-2","BALERINAS"
"016808/T-2","BALERINAS"
"016802/T-2","BALERINAS"
"014523/T-2","BALERINAS"
"011341/T-2","BALERINAS"
"012795/T-2","BALERINAS"
"016710/T-2","BALERINAS"
"017142/T-2","BALERINAS"
"016027/T-2","BALERINAS"
"015989/T-2","BALERINAS"
"011893/T-2","BALERINAS"
"011869/T-2","BALERINAS"
"012613/T-2","BALERINAS"
"015946/T-2","BALERINAS"
"011113/T-2","BALERINAS"
"013990/T-2","BALERINAS"
"013231/T-2","BALERINAS"
"013970/T-2","BALERINAS"
"015867/T-2","BALERINAS"
"011723/T-2","BALERINAS"
"015818/T-2","BALERINAS"
"011704/T-2","BALERINAS"
"013861/T-2","BALERINAS"
"011685/T-2","BALERINAS"
"011675/T-2","BALERINAS"
"013144/T-2","BALERINAS"
"014583/T-2","BALERINAS"
"011658/T-2","BALERINAS"
"012397/T-2","BALERINAS"
"014571/T-2","BALERINAS"
"012624/T-2","BALERINAS"
"011623/T-2","BALERINAS"
"012358/T-2","BALERINAS"
"013771/T-2","BALERINAS"
"012347/T-2","BALERINAS"
"013728/T-2","BALERINAS"
"011472/T-2","BALERINAS"
"013627/T-2","BALERINAS"
"011458/T-2","BALERINAS"
"011405/T-2","BALERINAS"
"011353/T-2","BALERINAS"
"012826/T-2","BALERINAS"
"011334/T-2","BALERINAS"
"014932/T-2","BALERINAS"
"011321/T-2","BALERINAS"
"013452/T-2","BALERINAS"
"011302/T-2","BALERINAS"
"017190/T-2","BALERINAS"
"011297/T-2","BALERINAS"
"013417/T-2","BALERINAS"
"014196/T-2","BALERINAS"
"013407/T-2","BALERINAS"
"013385/T-2","BALERINAS"
"011231/T-2","BALERINAS"
"011954/T-2","BALERINAS"
"011217/T-2","BALERINAS"
"011208/T-2","BALERINAS"
"013347/T-2","BALERINAS"
"015389/T-2","BALERINAS"
"015985/T-2","BALERINAS"
"011159/T-2","BALERINAS"
"014771/T-2","BALERINAS"
"011138/T-2","BALERINAS"
"011113/T-2","BALERINAS"
"011112/T-2","BALERINAS"
"014272/T-2","BALERINAS"
"013200/T-2","BALERINAS"
"011715/T-2","BALERINAS"
"015230/T-2","BALERINAS"
"013119/T-2","BALERINAS"
"013769/T-2","BALERINAS"
"011597/T-2","BALERINAS"
"013025/T-2","BALERINAS"
"011505/T-2","BALERINAS"
"012947/T-2","BALERINAS"
"015050/T-2","BALERINAS"
"017317/T-2","BALERINAS"
"012906/T-2","BALERINAS"
"012897/T-2","BALERINAS"
"011344/T-2","BALERINAS"
"012813/T-2","BALERINAS"
"012776/T-2","BALERINAS"
"016752/T-2","BALERINAS"
